iter	Passed	Remaining
974	3447	3624
975	3451	3620
976	3454	3617
977	3458	3613
978	3461	3610
979	3465	3606
980	3468	3602
981	3472	3599
982	3475	3595
983	3479	3592
984	3482	3588
985	3486	3585
986	3489	3581
987	3493	3578
988	3496	3574
989	3500	3570
990	3503	3567
991	3507	3563
992	3510	3560
993	3514	3556
994	3517	3553
995	3521	3549
996	3524	3546
997	3528	3542
998	3531	3538
999	3535	3535
1000	3538	3531
1001	3542	3528
1002	3545	3524
1003	3549	3521
1004	3552	3517
1005	3556	3514
1006	3560	3510
1007	3563	3506
1008	3567	3503
1009	3570	3499
1010	3574	3496
1011	3577	3492
1012	3581	3489
1013	3584	3485
1014	3588	3482
1015	3591	3478
1016	3595	3475
1017	3598	3471
1018	3602	3468
1019	3606	3464
1020	3609	3461
1021	3613	3457
1022	3616	3454
1023	3620	3450
1024	3624	3447
1025	3627	3443
1026	3631	3440
1027	3634	3436
1028	3638	3433
1029	3641	3429
1030	3645	3426
1031	3648	3422
1032	3652	3419
1033	3655	3415
1034	3659	3412
1035	3663	3408
1036	3666	3404
1037	3670	3401
1038	3673	3397
1039	3677	3394
1040	3680	3390
1041	3684	3387
1042	3687	3383
1043	3691	3380
1044	3694	3376
1045	3698	3373
1046	3701	3369
1047	3705	3366
1048	3708	3362
1049	3712	3358
1050	3716	3355
1051	3719	3351
1052	3723	3348
1053	3726	3344
1054	3730	3341
1055	3733	3337
1056	3737	3334
1057	3740	3330
1058	3744	3327
1059	3747	3323
1060	3751	3319
1061	3754	3316
1062	3758	3312
1063	3761	3309
1064	3765	3305
1065	3769	3302
1066	3772	3298
1067	3776	3295
1068	3779	3291
1069	3783	3288
1070	3786	3284
1071	3790	3281
1072	3793	3277
1073	3797	3274
1074	3800	3270
1075	3804	3266
1076	3807	3263
1077	3811	3259
1078	3814	3256
1079	3818	3252
1080	3821	3249
1081	3825	3245
1082	3829	3242
1083	3832	3238
1084	3836	3235
1085	3839	3231
1086	3843	3228
1087	3846	3224
1088	3850	3220
1089	3853	3217
1090	3857	3213
1091	3860	3210
1092	3864	3206
1093	3868	3203
1094	3871	3199
1095	3875	3196
1096	3878	3192
1097	3882	3189
1098	3885	3185
1099	3889	3182
1100	3893	3178
1101	3896	3175
1102	3900	3171
1103	3903	3168
1104	3907	3164
1105	3910	3161
1106	3914	3157
1107	3917	3154
1108	3921	3150
1109	3924	3147
1110	3928	3143
1111	3931	3139
1112	3935	3136
1113	3939	3132
1114	3942	3129
1115	3946	3125
1116	3949	3122
1117	3953	3118
1118	3956	3115
1119	3960	3111
1120	3963	3108
1121	3967	3104
1122	3970	3101
1123	3974	3097
1124	3977	3093
1125	3981	3090
1126	3984	3086
1127	3988	3083
1128	3992	3079
1129	3995	3076
1130	3999	3072
1131	4002	3069
1132	4006	3065
1133	4009	3062
1134	4013	3058
1135	4016	3054
1136	4020	3051
1137	4023	3047
1138	4027	3044
1139	4030	3040
1140	4034	3037
